Account,Flag,Cleared,Check Number,Date,Payee,Category,Master Category,Sub Category,Memo,Outflow,Inflow,Running Balance
"Avidia Checking",,U,,09/03/2013,"Migrant winds","Personal : Miscellaneous","Personal","Miscellaneous","",$12.60,$0.00,$9608.80
"Avidia Checking",,U,,09/03/2013,"parking","Transportation : Parking","Transportation","Parking","",$16.00,$0.00,$9592.80
"Avidia Checking",,U,,09/03/2013,"Save the children","Charity : Other","Charity","Other","",$28.00,$0.00,$9564.80
"Avidia Checking",,U,,09/03/2013,"verizon wireless","Housing : Cell Phones","Hidden Categories","Housing ` Cell Phones","",$94.16,$0.00,$9470.64
"Avidia Checking",,U,,09/03/2013,"Transfer : Discover",,,,"",$1579.41,$0.00,$7891.23
"Avidia Checking",,U,,09/04/2013,"OneCard","Education : College","Education","College","",$50.00,$0.00,$7841.23
"Avidia Checking",,U,,09/05/2013,"verizon fios","Housing : Phone & Internet","Hidden Categories","Housing ` Phone & Internet","",$180.23,$0.00,$7661.00
"Avidia Checking",,U,,09/06/2013,"adult and pediatric dermotology","Personal : Doctor, Dentist","Personal","Doctor, Dentist","4089",$25.00,$0.00,$7636.00
"Avidia Checking",,U,,09/06/2013,"Safety Insurane","Transportation : Car Insurance","Transportation","Car Insurance","check 4091",$2247.00,$0.00,$5389.00
"Avidia Checking",,U,,09/08/2013,"interest","Income : Available this month","Income","Available this month","",$0.00,$0.29,$5389.29
"Avidia Checking",,U,,09/09/2013,"adult and pediatric dermotology","Personal : Doctor, Dentist","Personal","Doctor, Dentist","check 4090",$25.00,$0.00,$5364.29
"Avidia Checking",,U,,09/09/2013,"daltons","Housing : Dog","Hidden Categories","Housing ` Dog","",$80.00,$0.00,$5284.29
"Avidia Checking",,U,,09/10/2013,"Mount Holyoke","Education : College","Education","College","",$3284.25,$0.00,$2000.04
"Avidia Checking",,U,,09/11/2013,"NGRID","Housing : Electricity","Hidden Categories","Housing ` Electricity","",$93.74,$0.00,$1906.30
"Avidia Checking",,U,,09/12/2013,"Pumpkin Brook","Income : Available this month","Income","Available this month","",$0.00,$366.59,$2272.89
"Avidia Checking",,U,,09/12/2013,"SMG","Personal : Doctor, Dentist","Personal","Doctor, Dentist","#4092",$5.00,$0.00,$2267.89
"Avidia Checking",,U,,09/13/2013,"softright","Income : Available next month","Income","Available next month","",$0.00,$4342.69,$6610.58
"Avidia Checking",,U,,09/16/2013,"Transfer : Lisa Cash Account",,,,"",$50.00,$0.00,$6560.58
"Avidia Checking",,U,,09/16/2013,"Transfer : Target Lisa",,,,"",$412.25,$0.00,$6148.33
"Avidia Checking",,U,,09/17/2013,"nstar","Housing : Gas","Hidden Categories","Housing ` Gas","",$45.10,$0.00,$6103.23
"Avidia Checking",,U,,09/20/2013,"Transfer : Lisa Cash Account",,,,"",$50.00,$0.00,$6053.23
"Avidia Checking",,U,,09/23/2013,"Hair Razors","Personal : Miscellaneous","Personal","Miscellaneous","Haircut  #4095",$30.00,$0.00,$6023.23
"Avidia Checking",,U,,09/24/2013,"Bill Ross","Personal : Miscellaneous","Personal","Miscellaneous","#4093 - For information on 72t",$142.50,$0.00,$5880.73
"Avidia Checking",,U,,09/26/2013,"Pumpkin Brook","Income : Available this month","Income","Available this month","",$0.00,$390.94,$6271.67
"Avidia Checking",,U,,09/26/2013,"Charlton Orchards","Personal : Miscellaneous","Personal","Miscellaneous","#4094",$20.00,$0.00,$6251.67
"Avidia Checking",,U,,09/26/2013,"SMG","Personal : Doctor, Dentist","Personal","Doctor, Dentist","#4096",$25.00,$0.00,$6226.67
"Avidia Checking",,U,,09/30/2013,"Transfer : avidia - Lisa Business",,,,"",$0.00,$2000.00,$8226.67
"Avidia Checking",,U,,10/01/2013,"Save the children","Charity : Other","Charity","Other","",$28.00,$0.00,$8198.67
"Avidia Checking",,U,,10/01/2013,"Smart entry","Recreation : Alyssa","Recreation","Alyssa","Art contest?",$40.00,$0.00,$8158.67
"Avidia Checking",,U,,10/01/2013,"verizon wireless","Housing : Cell Phones","Hidden Categories","Housing ` Cell Phones",,$94.16,$0.00,$8064.51
"Avidia Checking",,U,,10/03/2013,"Transfer : Discover",,,,"",$2948.87,$0.00,$5115.64
"Avidia Checking",,U,,10/07/2013,"verizon fios","Housing : Phone & Internet","Hidden Categories","Housing ` Phone & Internet","",$150.87,$0.00,$4964.77
"Avidia Checking",,U,,10/08/2013,"interest","Income : Available this month","Income","Available this month","",$0.00,$0.23,$4965.00
"Avidia Checking",,U,,10/10/2013,"Pumpkin Brook","Income : Available this month","Income","Available this month","",$0.00,$410.92,$5375.92
"Avidia Checking",,U,,10/10/2013,"Transfer : Target",,,,"",$3.02,$0.00,$5372.90
"Avidia Checking",,U,,10/10/2013,"NGRID","Housing : Electricity","Hidden Categories","Housing ` Electricity","",$97.59,$0.00,$5275.31
"Avidia Checking",,U,,10/10/2013,"Cobra softright","Personal : Health Insurance","Personal","Health Insurance","",$920.33,$0.00,$4354.98
"Avidia Checking",,U,,10/11/2013,"SMG","Personal : Doctor, Dentist","Personal","Doctor, Dentist","#4099",$5.00,$0.00,$4349.98
"Avidia Checking",,U,,10/11/2013,"paradize city arts","Personal : Miscellaneous","Personal","Miscellaneous","",$30.00,$0.00,$4319.98
"Avidia Checking",,U,,10/15/2013,"Transfer : Target Lisa",,,,"",$342.90,$0.00,$3977.08
"Avidia Checking",,U,,10/16/2013,"Sandrinos","Food : Restaurants","Food","Restaurants","",$8.92,$0.00,$3968.16
"Avidia Checking",,U,,10/16/2013,"nstar","Housing : Gas","Hidden Categories","Housing ` Gas","",$44.99,$0.00,$3923.17
"Avidia Checking",,U,,10/16/2013,"Mike Riley","Personal : Gifts","Personal","Gifts","#4100 bird house",$110.00,$0.00,$3813.17
"Avidia Checking",,U,,10/16/2013,"MCH Western","Recreation : Alyssa Horse","Recreation","Alyssa Horse","#4101",$380.00,$0.00,$3433.17
"Avidia Checking",,U,,10/18/2013,"SMG","Personal : Doctor, Dentist","Personal","Doctor, Dentist","#4104",$25.00,$0.00,$3408.17
"Avidia Checking",,U,,10/21/2013,"Sandrinos","Food : Restaurants","Food","Restaurants","",$7.22,$0.00,$3400.95
"Avidia Checking",,U,,10/22/2013,"Transfer : avidia - Lisa Business",,,,"",$0.00,$1500.00,$4900.95
"Avidia Checking",,U,,10/22/2013,"Pumpkin Brook","Income : Available this month","Income","Available this month","",$0.00,$436.26,$5337.21
"Avidia Checking",,U,,10/24/2013,"Marlboro chamber of commerce","business (bob) : Memberships","Hidden Categories","business (bob) ` Memberships","#4108",$375.00,$0.00,$4962.21
"Avidia Checking",,U,,10/25/2013,"Deposit","Income : Available next month","Income","Available next month","",$0.00,$100.00,$5062.21
"Avidia Checking",,U,,10/28/2013,"Mount Holyoke Lacross","Personal : Gifts","Personal","Gifts","#4097",$26.00,$0.00,$5036.21
"Avidia Checking",,U,,10/28/2013,"Basha","Food : Groceries","Food","Groceries","",$55.23,$0.00,$4980.98
"Avidia Checking",,U,,10/29/2013,"Marlboro","Housing : Real Estate Tax","Hidden Categories","Housing ` Real Estate Tax","",$1241.53,$0.00,$3739.45
"Avidia Checking",,U,,10/31/2013,"MCH Western","Recreation : Alyssa Horse","Recreation","Alyssa Horse","#4107",$95.00,$0.00,$3644.45
"Avidia Checking",,U,,11/01/2013,"Save the children","Charity : Other","Charity","Other","",$28.00,$0.00,$3616.45
"Avidia Checking",,U,,11/01/2013,"verizon wireless","Housing : Cell Phones","Hidden Categories","Housing ` Cell Phones","",$94.46,$0.00,$3521.99
"Avidia Checking",,U,,11/01/2013,"Cobra softright","Personal : Health Insurance","Personal","Health Insurance","",$953.01,$0.00,$2568.98
"Avidia Checking",,U,,11/04/2013,"Transfer : Discover",,,,"",$2211.62,$0.00,$357.36
"Avidia Checking",,U,,11/05/2013,"Transfer : avidia - Lisa Business",,,,"",$0.00,$1800.00,$2157.36
"Avidia Checking",,U,,11/05/2013,"namecheap","business (bob) : Internet","Hidden Categories","business (bob) ` Internet","",$32.01,$0.00,$2125.35
"Avidia Checking",,U,,11/05/2013,"verizon fios","Housing : Phone & Internet","Hidden Categories","Housing ` Phone & Internet","",$76.38,$0.00,$2048.97
"Avidia Checking",,U,,11/07/2013,"Pumpkin Brook","Income : Available this month","Income","Available this month","",$0.00,$409.39,$2458.36
"Avidia Checking",,U,,11/07/2013,"interest","Income : Available this month","Income","Available this month","",$0.00,$0.16,$2458.52
"Avidia Checking",,U,,11/08/2013,"SMG","Personal : Doctor, Dentist","Personal","Doctor, Dentist","#4112",$5.00,$0.00,$2453.52
"Avidia Checking",,U,,11/08/2013,"NGRID","Housing : Electricity","Hidden Categories","Housing ` Electricity","",$70.57,$0.00,$2382.95
"Avidia Checking",,U,,11/12/2013,"Transfer : Target",,,,"",$28.90,$0.00,$2354.05
"Avidia Checking",,U,,11/12/2013,"MPCOA","Charity : Other","Charity","Other","#4113 Marlboro Police",$35.00,$0.00,$2319.05
"Avidia Checking",,U,,11/13/2013,"Springridge farm","Food : Groceries","Food","Groceries","#4114",$20.00,$0.00,$2299.05
"Avidia Checking",,U,,11/14/2013,"Red Barn","Food : Restaurants","Food","Restaurants","",$2.39,$0.00,$2296.66
"Avidia Checking",,U,,11/14/2013,"Red Barn coffee","Food : Restaurants","Food","Restaurants","",$2.66,$0.00,$2294.00
"Avidia Checking",,U,,11/14/2013,"Zach mattei-lownes","Personal : Gifts","Personal","Gifts","birthday",$25.00,$0.00,$2269.00
"Avidia Checking",,U,,11/15/2013,"Transfer : Target Lisa",,,,"",$153.62,$0.00,$2115.38
"Avidia Checking",,U,,11/18/2013,"hannaford","Food : Groceries","Food","Groceries","",$4.76,$0.00,$2110.62
"Avidia Checking",,U,,11/18/2013,"marlboro wine & spirits","Food : Groceries","Food","Groceries","",$10.49,$0.00,$2100.13
"Avidia Checking",,U,,11/18/2013,"A1 auto","Transportation : Repairs & Maintenance","Transportation","Repairs & Maintenance","",$34.35,$0.00,$2065.78
